,Alameda County, California, Precipitation,Kings County, California, Precipitation,Placer County, California, Precipitation,Sierra County, California, Precipitation,Alpine County, California, Precipitation,Lake County, California, Precipitation,Plumas County, California, Precipitation,Siskiyou County, California, Precipitation,Amador County, California, Precipitation,Lassen County, California, Precipitation,Riverside County, California, Precipitation,Solano County, California, Precipitation,Butte County, California, Precipitation,Los Angeles County, California, Precipitation,Sacramento County, California, Precipitation,Sonoma County, California, Precipitation,Calaveras County, California, Precipitation,Madera County, California, Precipitation,San Benito County, California, Precipitation,Stanislaus County, California, Precipitation,Colusa County, California, Precipitation,Marin County, California, Precipitation,San Bernardino County, California, Precipitation,Sutter County, California, Precipitation,Contra Costa County, California, Precipitation,Mariposa County, California, Precipitation,San Diego County, California, Precipitation,Tehama County, California, Precipitation,Del Norte County, California, Precipitation,Mendocino County, California, Precipitation,San Francisco County, California, Precipitation,Trinity County, California, Precipitation,El Dorado County, California, Precipitation,Merced County, California, Precipitation,San Joaquin County, California, Precipitation,Tulare County, California, Precipitation,Fresno County, California, Precipitation,Modoc County, California, Precipitation,San Luis Obispo County, California, Precipitation,Tuolumne County, California, Precipitation,Glenn County, California, Precipitation,Mono County, California, Precipitation,San Mateo County, California, Precipitation,Ventura County, California, Precipitation,Humboldt County, California, Precipitation,Monterey County, California, Precipitation,Santa Barbara County, California, Precipitation,Yolo County, California, Precipitation,Imperial County, California, Precipitation,Napa County, California, Precipitation,Santa Clara County, California, Precipitation,Yuba County, California, Precipitation
10,200008,0.02,,200008,0.00,,200008,0.06,,200008,0.04,,200008,0.78,,200008,0.03,,200008,0.02,,200008,0.11,,200008,0.09,,200008,0.06,,200008,0.79,,200008,0.00,,200008,0.00,,200008,0.15,,200008,0.00,,200008,0.01,,200008,0.07,,200008,0.11,,200008,0.06,,200008,0.03,,200008,0.00,,200008,0.02,,200008,0.80,,200008,0.00,,200008,0.01,,200008,0.06,,200008,0.41,,200008,0.11,,200008,0.08,,200008,0.09,,200008,0.02,,200008,0.04,,200008,0.14,,200008,0.01,,200008,0.01,,200008,0.24,,200008,0.19,,200008,0.05,,200008,0.01,,200008,0.28,,200008,0.00,,200008,1.01,,200008,0.04,,200008,0.05,,200008,0.02,,200008,0.07,,200008,0.00,,200008,0.00,,200008,0.28,,200008,0.00,,200008,0.06,,200008,0.00,
11,200009,0.22,,200009,0.01,,200009,1.08,,200009,0.94,,200009,0.95,,200009,0.43,,200009,0.62,,200009,0.83,,200009,1.03,,200009,0.61,,200009,0.09,,200009,0.12,,200009,0.59,,200009,0.11,,200009,0.18,,200009,0.37,,200009,0.91,,200009,0.48,,200009,0.04,,200009,0.10,,200009,0.29,,200009,0.24,,200009,0.03,,200009,0.24,,200009,0.16,,200009,0.56,,200009,0.19,,200009,0.86,,200009,1.00,,200009,0.42,,200009,0.28,,200009,0.60,,200009,1.41,,200009,0.08,,200009,0.10,,200009,0.17,,200009,0.23,,200009,0.96,,200009,0.09,,200009,0.95,,200009,0.48,,200009,0.16,,200009,0.32,,200009,0.05,,200009,0.54,,200009,0.17,,200009,0.04,,200009,0.16,,200009,0.01,,200009,0.24,,200009,0.21,,200009,0.78,
12,200010,2.64,,200010,1.08,,200010,4.54,,200010,3.92,,200010,2.74,,200010,3.61,,200010,3.55,,200010,2.97,,200010,4.53,,200010,2.01,,200010,0.49,,200010,2.43,,200010,5.56,,200010,1.15,,200010,2.51,,200010,3.63,,200010,4.65,,200010,3.08,,200010,2.65,,200010,2.44,,200010,2.66,,200010,3.30,,200010,0.58,,200010,2.18,,200010,2.37,,200010,3.92,,200010,0.87,,200010,4.17,,200010,6.81,,200010,4.85,,200010,2.96,,200010,4.34,,200010,4.85,,200010,2.68,,200010,2.57,,200010,2.51,,200010,2.67,,200010,1.90,,200010,1.64,,200010,4.13,,200010,2.91,,200010,1.09,,200010,3.51,,200010,1.53,,200010,4.90,,200010,2.83,,200010,2.22,,200010,2.06,,200010,0.44,,200010,3.35,,200010,3.38,,200010,4.06,
13,200011,0.73,,200011,0.01,,200011,1.94,,200011,2.08,,200011,1.61,,200011,2.07,,200011,1.75,,200011,1.88,,200011,1.70,,200011,1.17,,200011,0.06,,200011,0.82,,200011,1.69,,200011,0.03,,200011,0.76,,200011,1.60,,200011,1.30,,200011,0.44,,200011,0.30,,200011,0.38,,200011,0.95,,200011,1.49,,200011,0.04,,200011,0.75,,200011,0.76,,200011,0.81,,200011,0.35,,200011,1.51,,200011,4.85,,200011,2.64,,200011,0.97,,200011,2.71,,200011,2.09,,200011,0.24,,200011,0.53,,200011,0.22,,200011,0.25,,200011,1.14,,200011,0.04,,200011,1.28,,200011,1.06,,200011,0.35,,200011,1.16,,200011,0.00,,200011,4.25,,200011,0.22,,200011,0.00,,200011,0.86,,200011,0.01,,200011,1.29,,200011,0.97,,200011,1.50,
14,200012,0.64,,200012,0.04,,200012,2.02,,200012,2.17,,200012,1.05,,200012,1.59,,200012,1.53,,200012,2.14,,200012,1.41,,200012,0.74,,200012,0.00,,200012,0.66,,200012,1.82,,200012,0.01,,200012,0.58,,200012,1.34,,200012,1.24,,200012,0.40,,200012,0.37,,200012,0.35,,200012,0.60,,200012,1.26,,200012,0.01,,200012,0.43,,200012,0.68,,200012,0.64,,200012,0.02,,200012,1.25,,200012,5.74,,200012,2.62,,200012,0.86,,200012,3.67,,200012,1.87,,200012,0.21,,200012,0.40,,200012,0.21,,200012,0.25,,200012,0.89,,200012,0.10,,200012,1.12,,200012,0.61,,200012,0.24,,200012,0.90,,200012,0.03,,200012,3.94,,200012,0.34,,200012,0.12,,200012,0.52,,200012,0.00,,200012,1.02,,200012,0.66,,200012,1.65,
15,200101,2.93,,200101,2.04,,200101,4.38,,200101,3.48,,200101,3.86,,200101,8.25,,200101,3.00,,200101,2.69,,200101,4.48,,200101,1.14,,200101,1.56,,200101,3.30,,200101,6.74,,200101,4.55,,200101,3.69,,200101,7.26,,200101,4.95,,200101,4.59,,200101,4.54,,200101,3.29,,200101,4.89,,200101,5.82,,200101,1.64,,200101,3.76,,200101,3.19,,200101,5.47,,200101,2.52,,200101,6.14,,200101,4.77,,200101,6.92,,200101,4.16,,200101,6.27,,200101,4.55,,200101,2.89,,200101,2.87,,200101,4.49,,200101,4.03,,200101,0.81,,200101,5.28,,200101,5.58,,200101,6.11,,200101,2.33,,200101,5.26,,200101,6.81,,200101,5.90,,200101,5.95,,200101,6.98,,200101,3.75,,200101,0.54,,200101,5.67,,200101,4.53,,200101,5.08,
16,200102,4.70,,200102,1.86,,200102,6.82,,200102,5.91,,200102,5.30,,200102,9.96,,200102,5.82,,200102,3.50,,200102,6.01,,200102,1.47,,200102,2.65,,200102,5.55,,200102,9.27,,200102,7.19,,200102,4.58,,200102,9.22,,200102,5.85,,200102,5.05,,200102,3.92,,200102,2.66,,200102,5.30,,200102,8.18,,200102,2.35,,200102,4.50,,200102,4.96,,200102,5.94,,200102,3.80,,200102,6.68,,200102,5.61,,200102,9.91,,200102,7.56,,200102,7.91,,200102,6.55,,200102,2.15,,200102,2.77,,200102,4.86,,200102,4.37,,200102,1.09,,200102,5.59,,200102,6.36,,200102,5.61,,200102,2.54,,200102,7.34,,200102,7.86,,200102,7.49,,200102,5.38,,200102,6.05,,200102,5.68,,200102,0.90,,200102,8.00,,200102,5.87,,200102,7.82,
17,200103,1.64,,200103,1.38,,200103,3.12,,200103,3.10,,200103,2.66,,200103,4.98,,200103,3.34,,200103,3.04,,200103,2.57,,200103,1.46,,200103,1.02,,200103,1.70,,200103,3.33,,200103,1.69,,200103,1.99,,200103,2.85,,200103,2.93,,200103,2.79,,200103,2.92,,200103,2.11,,200103,3.02,,200103,2.03,,200103,0.72,,200103,1.86,,200103,1.60,,200103,3.31,,200103,1.31,,200103,3.72,,200103,4.28,,200103,4.39,,200103,1.63,,200103,5.22,,200103,2.89,,200103,1.63,,200103,1.66,,200103,1.13,,200103,2.66,,200103,1.15,,200103,3.82,,200103,3.86,,200103,3.61,,200103,1.90,,200103,2.34,,200103,5.23,,200103,4.62,,200103,3.31,,200103,5.51,,200103,2.38,,200103,0.86,,200103,2.74,,200103,2.37,,200103,2.85,
18,200104,1.74,,200104,1.04,,200104,4.41,,200104,3.71,,200104,4.42,,200104,1.43,,200104,2.57,,200104,2.41,,200104,4.10,,200104,1.54,,200104,0.47,,200104,0.98,,200104,3.31,,200104,1.40,,200104,1.87,,200104,1.31,,200104,4.00,,200104,3.16,,200104,1.50,,200104,1.37,,200104,1.05,,200104,1.39,,200104,0.35,,200104,1.31,,200104,1.23,,200104,3.93,,200104,1.30,,200104,2.37,,200104,3.99,,200104,1.81,,200104,1.82,,200104,2.57,,200104,5.09,,200104,1.22,,200104,1.48,,200104,3.53,,200104,2.90,,200104,1.90,,200104,1.56,,200104,5.49,,200104,1.19,,200104,2.08,,200104,2.25,,200104,1.84,,200104,3.21,,200104,1.87,,200104,1.67,,200104,1.09,,200104,0.02,,200104,1.04,,200104,2.02,,200104,2.76,
19,200105,0.00,,200105,0.00,,200105,0.16,,200105,0.15,,200105,0.37,,200105,0.00,,200105,0.07,,200105,0.78,,200105,0.08,,200105,0.04,,200105,0.02,,200105,0.00,,200105,0.04,,200105,0.01,,200105,0.00,,200105,0.00,,200105,0.05,,200105,0.09,,200105,0.00,,200105,0.00,,200105,0.00,,200105,0.00,,200105,0.01,,200105,0.00,,200105,0.00,,200105,0.07,,200105,0.09,,200105,0.06,,200105,2.55,,200105,0.10,,200105,0.00,,200105,0.62,,200105,0.15,,200105,0.00,,200105,0.00,,200105,0.26,,200105,0.15,,200105,0.11,,200105,0.00,,200105,0.17,,200105,0.00,,200105,0.23,,200105,0.00,,200105,0.02,,200105,1.06,,200105,0.00,,200105,0.02,,200105,0.00,,200105,0.00,,200105,0.00,,200105,0.00,,200105,0.03,
20,200106,0.14,,200106,0.00,,200106,0.15,,200106,0.18,,200106,0.01,,200106,0.41,,200106,0.30,,200106,0.99,,200106,0.07,,200106,0.26,,200106,0.00,,200106,0.11,,200106,0.35,,200106,0.00,,200106,0.10,,200106,0.53,,200106,0.08,,200106,0.00,,200106,0.00,,200106,0.02,,200106,0.23,,200106,0.32,,200106,0.00,,200106,0.12,,200106,0.12,,200106,0.00,,200106,0.00,,200106,0.67,,200106,1.77,,200106,1.01,,200106,0.16,,200106,1.39,,200106,0.12,,200106,0.00,,200106,0.07,,200106,0.00,,200106,0.00,,200106,0.46,,200106,0.00,,200106,0.03,,200106,0.51,,200106,0.01,,200106,0.14,,200106,0.00,,200106,1.13,,200106,0.01,,200106,0.00,,200106,0.14,,200106,0.00,,200106,0.18,,200106,0.08,,200106,0.21,
21,200107,0.00,,200107,0.04,,200107,0.05,,200107,0.10,,200107,0.43,,200107,0.00,,200107,0.09,,200107,0.71,,200107,0.04,,200107,0.24,,200107,0.47,,200107,0.00,,200107,0.02,,200107,0.09,,200107,0.00,,200107,0.00,,200107,0.04,,200107,0.33,,200107,0.00,,200107,0.01,,200107,0.00,,200107,0.00,,200107,0.37,,200107,0.00,,200107,0.00,,200107,0.22,,200107,0.17,,200107,0.05,,200107,0.37,,200107,0.02,,200107,0.01,,200107,0.15,,200107,0.07,,200107,0.01,,200107,0.00,,200107,0.58,,200107,0.47,,200107,0.29,,200107,0.05,,200107,0.50,,200107,0.00,,200107,1.12,,200107,0.04,,200107,0.06,,200107,0.13,,200107,0.02,,200107,0.05,,200107,0.00,,200107,0.20,,200107,0.00,,200107,0.01,,200107,0.00,
22,200108,0.01,,200108,0.00,,200108,0.01,,200108,0.00,,200108,0.14,,200108,0.00,,200108,0.00,,200108,0.08,,200108,0.00,,200108,0.00,,200108,0.09,,200108,0.00,,200108,0.00,,200108,0.00,,200108,0.00,,200108,0.00,,200108,0.00,,200108,0.05,,200108,0.00,,200108,0.00,,200108,0.00,,200108,0.01,,200108,0.14,,200108,0.00,,200108,0.00,,200108,0.01,,200108,0.00,,200108,0.00,,200108,0.73,,200108,0.03,,200108,0.03,,200108,0.03,,200108,0.01,,200108,0.00,,200108,0.00,,200108,0.00,,200108,0.07,,200108,0.03,,200108,0.00,,200108,0.04,,200108,0.00,,200108,0.16,,200108,0.05,,200108,0.00,,200108,0.20,,200108,0.01,,200108,0.00,,200108,0.00,,200108,0.07,,200108,0.00,,200108,0.01,,200108,0.00,
23,200109,0.15,,200109,0.00,,200109,0.57,,200109,0.62,,200109,0.55,,200109,0.50,,200109,0.59,,200109,1.38,,200109,0.40,,200109,0.54,,200109,0.04,,200109,0.23,,200109,0.53,,200109,0.03,,200109,0.29,,200109,0.22,,200109,0.35,,200109,0.14,,200109,0.11,,200109,0.14,,200109,0.42,,200109,0.16,,200109,0.07,,200109,0.32,,200109,0.13,,200109,0.32,,200109,0.04,,200109,0.68,,200109,0.77,,200109,0.27,,200109,0.18,,200109,1.24,,200109,0.56,,200109,0.14,,200109,0.22,,200109,0.00,,200109,0.13,,200109,0.84,,200109,0.01,,200109,0.54,,200109,0.58,,200109,0.25,,200109,0.18,,200109,0.00,,200109,0.49,,200109,0.07,,200109,0.00,,200109,0.27,,200109,0.00,,200109,0.35,,200109,0.14,,200109,0.48,
24,200110,0.40,,200110,0.16,,200110,1.22,,200110,1.40,,200110,1.16,,200110,1.75,,200110,1.38,,200110,1.07,,200110,0.97,,200110,0.45,,200110,0.01,,200110,0.44,,200110,2.29,,200110,0.18,,200110,0.41,,200110,1.77,,200110,0.93,,200110,0.76,,200110,0.20,,200110,0.20,,200110,1.12,,200110,0.94,,200110,0.07,,200110,0.98,,200110,0.38,,200110,1.03,,200110,0.00,,200110,1.44,,200110,4.07,,200110,1.35,,200110,0.49,,200110,1.77,,200110,1.04,,200110,0.26,,200110,0.33,,200110,0.69,,200110,0.67,,200110,0.46,,200110,0.42,,200110,1.32,,200110,1.24,,200110,0.40,,200110,0.55,,200110,0.34,,200110,1.99,,200110,0.32,,200110,0.61,,200110,0.57,,200110,0.01,,200110,0.92,,200110,0.37,,200110,1.71,
25,200111,3.42,,200111,1.31,,200111,7.77,,200111,7.60,,200111,5.99,,200111,11.70,,200111,6.48,,200111,8.00,,200111,5.04,,200111,2.87,,200111,0.44,,200111,4.10,,200111,8.73,,200111,1.82,,200111,3.01,,200111,10.66,,200111,5.16,,200111,4.25,,200111,2.89,,200111,2.21,,200111,6.69,,200111,8.73,,200111,0.46,,200111,3.71,,200111,3.72,,200111,6.20,,200111,0.89,,200111,8.46,,200111,15.02,,200111,13.90,,200111,5.89,,200111,15.40,,200111,7.16,,200111,1.87,,200111,2.30,,200111,3.85,,200111,3.39,,200111,3.28,,200111,3.37,,200111,6.99,,200111,7.57,,200111,2.50,,200111,6.40,,200111,3.39,,200111,14.04,,200111,3.77,,200111,3.78,,200111,4.05,,200111,0.05,,200111,7.06,,200111,4.08,,200111,6.74,
26,200112,7.14,,200112,1.55,,200112,12.57,,200112,11.76,,200112,9.19,,200112,14.96,,200112,10.13,,200112,8.75,,200112,9.65,,200112,3.85,,200112,0.46,,200112,8.11,,200112,12.55,,200112,1.27,,200112,6.15,,200112,14.98,,200112,9.62,,200112,5.90,,200112,4.09,,200112,4.58,,200112,8.04,,200112,14.29,,200112,0.35,,200112,5.73,,200112,7.47,,200112,8.53,,200112,0.96,,200112,10.11,,200112,17.97,,200112,15.91,,200112,11.24,,200112,15.61,,200112,11.73,,200112,2.93,,200112,5.27,,200112,5.06,,200112,4.37,,200112,3.12,,200112,2.60,,200112,10.73,,200112,8.65,,200112,2.90,,200112,10.57,,200112,1.85,,200112,16.71,,200112,4.94,,200112,2.27,,200112,7.47,,200112,0.06,,200112,11.86,,200112,7.62,,200112,10.90,
27,200201,1.31,,200201,0.68,,200201,4.95,,200201,4.51,,200201,2.43,,200201,6.64,,200201,4.12,,200201,4.90,,200201,3.39,,200201,1.74,,200201,0.15,,200201,2.31,,200201,5.82,,200201,0.82,,200201,2.18,,200201,5.85,,200201,3.09,,200201,1.83,,200201,1.00,,200201,1.55,,200201,3.62,,200201,4.09,,200201,0.14,,200201,2.82,,200201,1.56,,200201,2.45,,200201,0.38,,200201,4.32,,200201,12.51,,200201,7.27,,200201,2.11,,200201,8.22,,200201,4.39,,200201,1.13,,200201,1.59,,200201,1.58,,200201,1.59,,200201,1.54,,200201,1.05,,200201,2.98,,200201,3.92,,200201,0.60,,200201,2.12,,200201,1.12,,200201,9.89,,200201,1.36,,200201,1.09,,200201,2.61,,200201,0.02,,200201,4.27,,200201,1.64,,200201,4.65,
28,200202,1.28,,200202,0.21,,200202,3.65,,200202,2.83,,200202,1.89,,200202,2.24,,200202,2.22,,200202,3.54,,200202,3.19,,200202,1.32,,200202,0.03,,200202,1.11,,200202,2.59,,200202,0.23,,200202,1.18,,200202,2.70,,200202,2.81,,200202,1.13,,200202,0.85,,200202,0.85,,200202,0.85,,200202,2.56,,200202,0.02,,200202,0.85,,200202,1.28,,200202,1.87,,200202,0.13,,200202,2.20,,200202,9.44,,200202,5.24,,200202,2.37,,200202,6.56,,200202,3.59,,200202,0.64,,200202,0.91,,200202,0.62,,200202,0.71,,200202,1.79,,200202,0.50,,200202,2.70,,200202,1.10,,200202,0.58,,200202,2.22,,200202,0.35,,200202,7.71,,200202,1.15,,200202,0.33,,200202,1.01,,200202,0.00,,200202,1.72,,200202,1.52,,200202,2.72,
